id,created_at,text
1295320924938481667,2020-08-17 11:25:49,b'Will be interviewed on @foxandfriends this morning at 8:00 A.M. Enjoy!'
1295171444629032960,2020-08-17 01:31:50,"b'RT @EricTrump: .@realDonaldTrump Boat Parade today in Clearwater, Florida!!!!!\n\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/6eH36UPsL4'"
1295171314886627330,2020-08-17 01:31:19,b'RT @nypost: Kamala Harris reportedly owes $1M in bills from failed presidential run https://t.co/RE8Z6gzgQB https://t.co/Ea3ldU5FfG'
1295171196972130305,2020-08-17 01:30:51,b'RT @realDonaldTrump: Vote for TRUMP on November 3rd. I am going to bring our beloved New York back!'
1295171128810524674,2020-08-17 01:30:34,"b'RT @EricTrump: Durham probe: Ex-FBI lawyer to plead guilty in first criminal case arising from review, sources say | Fox News https://t.co/\xe2\x80\xa6'"
1295171059776401408,2020-08-17 01:30:18,b'RT @EricTrump: This says it all. Our Mayor can play arts and crafts in front of Trump Tower but he can\xe2\x80\x99t shine the Tribute Light Memorial a\xe2\x80\xa6'
1295170956005122050,2020-08-17 01:29:53,"b'RT @realDonaldTrump: Thank you James. Sadly, you are 100% correct!!!'"
1295170852191952902,2020-08-17 01:29:28,"b'RT @bennyjohnson: TRUMP: \xe2\x80\x9cIf stupid people aren\xe2\x80\x99t elected next year, we\xe2\x80\x99re going to have one of the greatest years that we\xe2\x80\x99ve ever had.\xe2\x80\x9d ht\xe2\x80\xa6'"
1295170670968606721,2020-08-17 01:28:45,"b'RT @GOPChairwoman: President @realDonaldTrump continues to enjoy a record enthusiasm advantage over Biden, and Republicans are now outpacin\xe2\x80\xa6'"
1295170575212609545,2020-08-17 01:28:22,b'RT @TeamTrump: Senior Advisor @JaredKushner: Israel-UAE deal is \xe2\x80\x9cthe culmination of three and a half years of incredible diplomacy by Presi\xe2\x80\xa6'
